semicore,predict
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Nb
Nb,Mo
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Hg
Mo,Hg
Mo,Mo
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Mo
Mo,Hg
Mo,Hg
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Hg
Mo,Mo
Mo,Mo
Mo,Hg
Mo,Nb
Mo,Mo
